categoria,porcTRC,porcDIG,porcAER,porcCIB,porcENF
Analisís de datos,4.0,3.0,3.0,3.0,3.0
Automática,10.0,7.5,7.5,7.5,7.5
Ciencias básicas,28.0,21.0,21.0,21.0,21.0
Comunicación y dibujo,7.0,5.25,5.25,5.25,5.25
Formación profesional y habilidades interpersonales,8.0,6.0,6.0,6.0,6.0
Ingeniería eléctrica y electrónica,19.0,14.25,14.25,14.25,14.25
Ingeniería mecánica y de materiales,21.0,15.75,15.75,15.75,15.75
"Diseño, instalaciones y gestión",0.0,25.0,0.0,0.0,0.0
Aeronáutica,0.0,0.0,25.0,0.0,0.0
Sistemas ciberfísicos,0.0,0.0,0.0,25.0,0.0
Énfasis,0.0,0.0,0.0,0.0,25.0
