id,bibtex
CYD0107,giesecke2012dibujo;bogoliubov1985dibujo;bogoliubov1985practicas;perez1998expresion
AUT0205,cormen2009;tanenbaum2016;patterson2020;silberschatz2020;aho2006;bryant2015
IEE0303,hayt2023circuits;boylestad2022circuits;alexander2023circuits;dorf2011circuits
IEE0304,hayt2023circuits;boylestad2022circuits;alexander2023circuits;dorf2011circuits
IEE0305,ida2020sensors;fraden2016sensors;pallas2012sensors
IEE0403,hayt2023circuits;boylestad2022circuits;alexander2023circuits;dorf2011circuits
IEE0404,hayt2023circuits;boylestad2022circuits;alexander2023circuits;dorf2011circuits
IEE0405,ida2020sensors;fraden2016sensors;pallas2012sensors;karre2023instru;ansiisa51;gum2008
IMM0407,cengel2019termo;vanwylen2006termo;wark2000termo
ADD0502,montgomery2020applied
IEE0503,sedra2020microelectronic;boylestad2019electronic;horowitz2015art;floyd2012fundamentals;franco2014design
AUT0504,chaturvedi2017modeling;ogata2010modern;astrom2010feedback;ogata2001system;chapra2011applied
ADD0602,ebeling2019introduction;birolini2017reliability;smith2019fiabilidad;moubray2004mantenimiento
IEE0604,brown2013digital;mano2015digital;harris2012digital;katz2005digital;floyd2015digital;nelson1995digital;hayes1993digital;sandige2002digital;short2008digital;chu2017digital
IEE0702,liwschitz1981maquinas;chapman2012maquinas;kosow2021maquinas;wildi2007maquinas;fraile2016maquinas;fitzgerald1975maquinas
AUT0704,nise2015control;ogata2010modern;ogata2002sistemas;golnaraghi2009automatic;wilkie2002introductory
IEE0802,liwschitz1981maquinas;chapman2012maquinas;kosow2021maquinas;wildi2007maquinas;fraile2016maquinas;fitzgerald1975maquinas
INS0801,grainger1996gendis;kothari2008gendis;wildi2007gendis;kersting2012gendis;short2014gendis;gonen2008gendis;momoh2012gendis;ekanayake2012gendis;pinheiro2018gendis;migliavacca2020gendis
SCF0801,incose2023;nasa2016expanded
