id,contenidos
CYD0107,"*Generalidades
**El Dibujo Técnico como lenguaje. Historia del Dibujo Técnico.
**Objetivos del curso
**Instrumentos de Dibujo: Escalímetro, escuadras.
**Rotulado técnico y Formatos para dibujo Técnico
**Norma de rotulado INTE-ISO 3098/0/2/3-2008
**Formatos según INTE-ISO 5457-2008
**Información que debe contener un cajetín INTE-ISO 7200-2008
*Geometría Descriptiva (2 hrs)
**Consideraciones fundamentales de la Geometría Descriptiva :
***Objetivos del curso
***Concepto de Geometría Descriptiva y su Historia
**Proyección del punto, el segmento y los planos en el espacio
***Proyección de un punto, el segmento y los planos en las vistas
***Proyección de un punto, el segmento y los planos en el espacio
**Longitudes y dimensiones naturales
***Procedimiento de rotación para encontrar la dimensión real de un segmento y un plano;
***Procedimiento de sustitución de planos para encontrar la dimensión real de un segmento y un plano;
***Procedimiento de superposición para encontrar la dimensión real de un segmento y un plano.
**Características particulares de la representación de los Cuerpos Geométricos
***Características particulares del prisma y su representación;
***Características del cono y su representación;
***Características de la pirámide y su representación;
***Características del cilindro y su representación;
***Características del toroide y su representación;
***Características de la esfera y su representación
*Escalas (4 hrs)
**Concepto de escalas
**Escalas según INTE ISO 5455-2008
*Proyecciones ortogonales (14 hrs)
**Sistema de proyección y designación de vistas según la norma INTE- ISO 128/30/34-2008
**Criterios de selección de la vista frontal y la ubicación de las otras vistas.
**Cantidad de vistas que definen un objeto.
**Significado y utilización de los tipos de líneas.
**Tipos de líneas según la norma INTE ISO 128/20/21/22/23/24-2008
*Presentación de un plano:
**Calidad de líneas
**Orden y adecuada ubicación de la información
**Especificaciones técnicas.
**Práctica de proyecciones ortogonales croquizando “a mano alzada”.
**Práctica de proyecciones ortogonales utilizando Software de dibujo.
*Proyecciones Axonométricas (12 hrs)
**Ejes de proyección
**Tipos de axonometrías
**Proyecciones axonométricas a mano alzada y utilizando software de dibujo.
*Acotado (4 hrs) 
**Normas y recomendaciones INTE/ISO 129/1-2008 sobre acotado.
**Líneas utilizadas en el acotado
**Posición de la cota
**Rotulado de cotas
**Criterios para la acotación correcta de piezas.
**Relación entre cota y escala.
*Cortes y secciones (4 hrs)
**Concepto de cortes y secciones. Conveniencia de su utilización
**Representación e indicación de cortes según la norma INTE/ISO 128/40-44- 2008
**Achurado
**Tipos de cortes.
***Sección en un plano de corte.
***Sección en dos planos paralelos.
***Sección en tres planos de corte continuos
***Sección en dos planos de intersección
***Plano de corte posesionado parcialmente fuera de la pieza
***Sección removida de una vista
***Secciones sucesivas
***Cortes oblicuos o auxiliares
***Cortes y secciones parciales
***Corte y secciones de piezas simétricas
*Vistas auxiliares simples (4 hrs)
**Vistas auxiliares
**Tipos de vistas auxiliares
**Ubicación de las vistas auxiliares
**Rotulado de vistas auxiliares."
IEM2308,"Historia y evolucion de los sistemas de control de procesos.
Sistemas analógicos y digitales, conceptos y aplicaciones.                                                                         
Sistemas dinámicos y continuos, métodos de análisis.                                                                                                  
Fundamentos teoricos para el diseño,  analisis  y modelado de sistemas discretos.                                                 
Herramientas de  diseño y simulación  de sistemas discretos.                                                                                  
Representación de sistemas de control                                                                           
Fundamentos teoricos para diseño, análisis y modelado de sistemas de eventos continuos.                                                  
Herramientas de diseño simulación de eventos continuos                                                                                
Herramientas de diseño y simulación de sistemas de eventos  continuos.                                                             
Controladores lógicos programables para el control  y diseño de sistemas de control de procesos.                                                                  
Normas y lenguajes estandar de diseño mediante controladores lógicos programables. "
IEM2358,"Simulación de sistemas de eventos discretos.
Analisis de estabibilidad en sistemas continuos y discretos.
Diseño de sistemas de control de procesos continuos.
Diseño e implementación de sistemas de control  de eventos discretos.
Comparación de sistemas discretos y continuos.
Implementación de controladores digitales.
Programación de  sistemas de eventos discretos y continuos en programadores lógicos controlables. "
IEM2111,"*Módulo 1: Fundamentos de Turbomáquinas.
**Introducción a las turbomáquinas y sus aplicaciones.
**Principios básicos de funcionamiento.
**Clasificación y tipos de turbomáquinas.
**Módulo 2: Compresores, Bombas Hidráulicas y Ventiladores.
**Compresores: tipos, características y aplicaciones.
**Bombas: clasificación, curvas de rendimiento y selección.
**Análisis de sistemas de bombeo.
*Modulo 3: Suministro de agua y Bombas Hidráulicas: 
**Normativa costarricense para la proyección de instalaciones hidráulicas y sanitarias en edificaciones. 
**Métodos para la estimación de caudal.
**Métodos para la estimación de diámetro de las tuberías.
**Métodos para proporcionar presión independiente y la determinación de las presiones de trabajo y los niveles de agua en el tanque hidroneumático. 
**Bombas Centrífugas: curvas características, funcionamiento, partes principales, mantenimiento. 
**Fundamentos para proyección de sistemas suministro agua.
*Modulo 4: Sistemas de Aire Comprimido:
**Compresores: tipos, funcionamiento, enfriadores, purgadores, mantenimiento. 
**Dispositivos en redes de aire comprimido. 
**Cálculo de Sistemas de Aire Comprimido.
*Modulo 5: Ventilación:
**Ventiladores: Tipos, funcionamiento, curvas características. 
**Introducción al cálculo de sistemas de ventilación."
IEM2201,"*Conceptos y definiciones (4 horas)
**Bandas de energía
**Carga eléctrica
**Corriente 
**Voltaje
**Resistencia eléctrica
**Ley de Ohm
**Potencia eléctrica
**Energía
**Elementos activos y pasivos
**Corto circuito y circuito abierto
**Fuentes dependientes e independientes
**Elementos de un circuito
*Análisis de circuitos básicos. (12 horas)
**Leyes de Kirchhoff
**Elementos y circuitos en serie
**Divisor de voltaje
**Elementos y circuitos en paralelo
**Divisor de corriente
**Fuentes reales
*Técnicas para el análisis de circuitos complejos. (20 horas)
**Análisis de mallas y supermallas
**Análisis de nodos y supernodos
**Superposición
**Conversión de fuentes
**Teoremas de Thévenin y Norton
**Teorema de máxima transferencia de potencia
**Conversión de delta-estrella y estrella-delta
**Circuitos Puente (H, Wheastone, celda de carga)
*Bobinas y condensadores (12 horas)
**Definición de elementos reactivos
**Fundamentos de condensadores y bobinas
**Arreglo de elementos reactivos en serie y paralelo
**Respuesta natural y forzada
**La función de singularidad
**Circuitos de primer orden RL y RC
**Circuitos de segundo orden RLC en serie y paralelo
*Fundamentos de la transformada de Laplace (16 horas)
**Definición de la transformada de Laplace
**Propiedades de la transformada de Laplace
**Definición de elementos en el dominio “s”
**Análisis de circuitos RLC en estado transitorio y estable utilizando transformada de Laplace"
IEM2202,"*Métodos de análisis en Corriente Alterna 
**Representación fasorial y vectorial de tensiones, corrientes, impedancias y admitancias
**Leyes de Kirchhoff en Análisis de mallas y nodos en estado estable
**Transformación de fuentes tensión y corriente
**Teoremas de Thévenin y Norton enfocado al principio de máxima transferencia de potencia
**Linealidad y superposición de tensiones y corrientes, cálculo de potencia 
*Potencia Eléctrica
**Cálculo del valor efectivo
**Potencia instantánea y promedio. 
**Definición de potencias reactiva, aparente y real. 
**Concepto del Factor de potencia y su relación con cargas lineales
**Corrección del Factor de potencia
**Cálculo de potencia promedio en señales senoidales compuestas
*Circuito monofásico trifilar
**Concepto de circuitos polifásicos y su extensión a redes monofásicas 
**Definición de redes simétricas (fuentes balanceadas)
**Esquemas de corrección del FP en circuitos monofásicas
*Respuesta en frecuencia 
**Teorema de Euler y el concepto de frecuencia compleja
**Operador s en circuitos RLC y su relación con la transformada de Laplace
**Función de transferencia, relaciones de impedancia, admitancia y ganancias de tensión o corriente
**Diagramas de Bode y representación en el plano complejo
**Análisis de función de transferencia, ganancia, ceros y polos. Atenuación y decibelios
**Filtros pasivos, ancho de banda, banda rechazada, frecuencia de corte, frecuencia central, factor de calidad
**Resonancia serie, paralelo, resonancia compuesta en circuitos RLC
*Series de Fourier
**Definición. Relación con el valor efectivo y potencia promedio
**Concepto de contenido armónico, efecto de filtros en el contenido armónico
**Distorsión armónica total (THD)
**Relación del THD con el valor efectivo y el factor de potencia desplazado (FPD) en redes a 60Hz
*Redes bipuertos
**Concepto de redes de dos puertos
**Parámetros de Impedancia, Admitancia, Híbridas y Transmisión
**Modelado y aplicación"
IEM2203,"*Conceptos básicos de electrónica 
**Definición de electrónica analógica y digital 
**Conversión de analógica a digital y viceversa, teorema del muestreo, cuantización del error. 
**Sistemas de numeración en códigos base-N, hexadecimal, binario, ASCII, conversiones de base 
**Tipos de códigos binarios 
*Circuitos integrados lineales 
**Características del amplificador operacional 
**Corto circuito virtual y topologías básicas: inversor, no inversor, sumador, restador, integrador, derivador. Diseño y modelado de filtros activos 
**IC especiales: reguladores de tensión, comparadores, astables, monostables, convertidores 
*Diodo semiconductor 3.1. Cristales semiconductores. Enlaces covalentes, semiconductores intrínsecos y extrínsecos, la unión P-N 
**Polarización de diodos 
**Curva característica 
**Valores nominales y parámetros. Dependencia con temperatura. 
**Diodos de propósito general (Si, Ge) y especiales (Schottky, LEDs, Zener, varistores) 
**Aplicaciones del diodo semiconductor y circuitos con diodos. 
*Transistores BJT y MOSFET 
**Estructura y definición 
**Polarización 
**Funcionamiento del transistor BJT y MOSFET 
**Aplicaciones con transistores BJT y MOSFET 
*Fundamentos de sistemas binarios 
**Álgebra de Boole 
**Compuertas lógicas 
**Teoremas fundamentales 
**Tabla de verdad 
**Reducción de expresiones lógicas mediante álgebra de Boole 
*Diseño lógico combinacional 
**Mintérminos y maxtérminos."
IEM2203,"*Conceptos básicos de electrónica 
**Definición de electrónica analógica y digital
**Conversión de analógica a digital y viceversa, teorema del muestreo, cuantización del error.
*Diodo semiconductor 
**Cristales semiconductores. Enlaces covalentes, semiconductores intrínsecos y extrínsecos, la unión P-N
**Polarización de diodos
**Curva característica
**Valores nominales y parámetros. Dependencia con temperatura.
**Diodos de propósito general (Si, Ge) y especiales (Schottky, LEDs, Zener)
**Aplicaciones del diodo semiconductor y circuitos con diodos.
*Transistores BJT (12 horas)
**Estructura y definición
**Polarización
**Funcionamiento del transistor BJT
**Aplicaciones con transistores BJT
**Optoacoples
*MOSFET
**Estructura y definición
**Polarización
**Funcionamiento
**Aplicaciones
**IGBT
*Fundamentos de electrónica de potencia (10 horas)
**Amplificadores de gran señal
**Convertidores de DC-AC (rectificaciones)
**Fuentes de voltaje reguladas y conmutadas (Buck - Boost)
**Puente H y Modulación por ancho de pulso (PWM)
*Circuitos integrados lineales (10 horas)
**Características del amplificador operacional 
**Corto circuito virtual y topologías básicas: inversor, no inversor, sumador, restador, integrador, derivador. Diseño y modelado de filtros activos
**IC especiales: reguladores de tensión, comparadores, astables, monostables, convertidores V/F y F/V"
IEM2204,"*Fundamentos de sistemas binarios
**Sistemas de numeración en códigos base-N, hexadecimal, binario, ASCII, conversiones de base
**Tipos de códigos binarios
**Álgebra de Boole
**Compuertas lógicas
**Teoremas fundamentales
**Tabla de verdad
**Reducción de expresiones lógicas mediante álgebra de Boole
*Diseño lógico combinacional
**Mintérminos y maxtérminos.
**Funciones completamente e incompletamente especificadas.
**Mapas de Karnaugh
**Representación de las condiciones no importa y no pueden ocurrir.
**Suma de Productos y Producto de Sumas. 
*Lógica digital combinacional
**Multiplexores, demultiplexores
**Decodificadores
**Código Grey
*Circuitos Secuenciales. 
**Modelos de los circuitos secuenciales vrs los combinacionales 
**Máquinas secuenciales 
**Elementos básicos de los circuitos secuénciales Biestables, cerrojos (latch) y Flip-Flop. 
**Contadores
**Desplazamientos de Registros
*Máquinas de estado...
**Circuitos combinacionales iterativos vrs Máquinas de estado
**Diagrama de estados
**Diseño de Máquinas de estado
**Máquinas de estado a partir de listas de transición
*Dispositivos lógicos programables
**Descripción de arquitecturas PPGA y sistema con CPU: hilos en paralelo vrs hilos secuenciales
**Generalidades de lenguajes de descripción de Hardware (HDL): VHDL - Verilog
**Herramientas de generación de código y compilación
**Descripción del testbench (datos de prueba)
**Validación de DUT
*Introducción al lenguaje de programación C. 
**Tipo de datos y constantes. 
**Declaración de variables: Bolean, Entero, Flotante, etc. 
**Lectura / Escritura Digitales 
**Lectura / Escritura Analógica 
**Estructuras: IF THEN, SWITCH, FOR, etc 
**Diagrama de flujo de un programa. 
**Creación de funciones. 
**Llamado de librerías. 
**Programación en IDE"
IEM2205,"1.	Circuitos y elementos lineales, monofásicos y trifásicos balanceados y desbalanceados. (12 horas)
a.	Sistema Monofásico (2 horas)
i.	Cargas resistivas, inductivas y capacitivas. 
ii.	Cálculo de la corriente en el neutro.

2.	Sistemas Trifásicos (6 horas)
a.	Principio de generación 
b.	Tensiones trifásicas balanceadas 
c.	Tipos de circuitos trifásicos 
d.	Generador trifásico en estrella 
e.	Tensiones de línea y de fase 
f.	Desfase entre línea y fase 
g.	Secuencia de fase 
h.	Corrientes de línea y fase 
i.	Conexiones en cargas balanceadas y desbalanceadas.

3.	Potencia Monofásica y Trifásica (4 horas)
a.	Sistemas balanceados y Desbalanceados
b.	Potencia activa, reactiva y aparente (triángulo de potencias) 
c.	Medición del factor de potencia.
d.	Mejoramiento de factor de potencia.

4.	Estructuras Ferromagnéticas (12 horas)
a.	Excitadas en Corriente Directa (6 horas)
i.	Propiedades de los materiales ferromagnéticos.
ii.	Teoría de los dominios ferromagnéticos.
iii.	Curvas de magnetización.
iv.	Lazo de histéresis, flujo residual y fuerza coercitiva.
v.	El concepto del circuito magnético. Fuerza magnetomotriz, reluctancia y permeancia magnética.
vi.	Métodos de análisis de circuitos ferromagnéticos.
vii.	Entrehierros en circuitos ferromagnéticos.
viii.	Estructuras ferromagnéticas, con varias bobinas de excitación.
ix.	Circuitos magnéticos, con saturación magnética.
a.	Excitadas en Corriente Alterna (6 horas)
i.	Ley de inducción electromagnética de Faraday.
ii.	Relaciones entre tensión aplicada, tensión inducida y flujo magnético.
iii.	Forma de onda de la corriente de excitación.
iv.	Energía almacenada en el núcleo ferromagnético.
v.	Pérdida de energía en el núcleo ferromagnético.
vi.	Modelo de la corriente de excitación no senoidal. Armónicas impares.
vii.	Cálculo de los parámetros de un reactor, con núcleo ferromagnético.

5.	Transformadores (16 horas)
a.	Transformadores Monofásicos (8 horas) 
i.	Tipos de transformadores de distribución. Aéreos, subterráneos, sumergibles, convencionales y de pedestal.
ii.	El transformador ideal.
iii.	Polaridad de los transformadores.
iv.	Transformadores aditivos y sustractivos.
v.	El transformador real. Núcleos laminados, flujos de dispersión, y pérdidas en el núcleo.
vi.	Circuito del transformador real y diagramas fasoriales.
vii.	Cálculo de parámetros del transformador real.
viii.	Regulación de tensión del transformador.
ix.	Eficiencia, y eficiencia máxima del transformador.
x.	Sistema en por unidad.
xi.	Datos de placa.
xii.	Autotransformador.
xiii.	Conexión en paralelo de transformadores. Intercambiador de derivaciones (tomas regulables bajo carga.
b.	Transformadores Trifásicos (8 horas)
i.	Conexiones simétricas: estrella-estrella, delta-delta, delta-estrella, estrella-delta, estrella-zigzag.
ii.	Conexión en paralelo. Índice horario.
iii.	Conexiones asimétricas: estrella renca - delta abierta, conexión en T, conexión de Scott.
iv.	Datos de placa.
v.	Autotransformador.
vi.	Transformadores de tres devanados.

6.	Máquinas de Inducción Asincrónica (24 horas)
a.	Motor Trifásico de Inducción (16 horas)
i.	Principio de funcionamiento.
ii.	Ley de Ampere
iii.	Ley de Faraday-Lenz
iv.	Fuerza de Lorentz
v.	Construcción de las partes principales de una máquina eléctrica rotativa.
vi.	Velocidad del campo magnético rotatorio, velocidad mecánica, deslizamiento y frecuencia en el rotor.
vii.	Circuito equivalente.
viii.	Par desarrollado en función del deslizamiento.
ix.	Curva característica: Arranque directo.
x.	Descripción de datos de la placa característica.
xi.	Métodos de arranque por resistencias estatóricas, estrella-delta, devanado partido, auto transformador, resistencia rotórica y arranque suave.
xii.	Métodos de control de velocidad y variador de frecuencia.
xiii.	Pérdidas eléctricas, mecánicas, magnéticas y eficiencia.

b.	Motor Monofásico de Inducción (4 horas)
i.	Construcción y modelado dinámico de la máquina.
ii.	Principio de funcionamiento (Doble campo magnético rotatorio):
iii.	Tipos de motores:
1.	Fase Partida.
2.	Capacitor de arranque.
3.	Capacitor permanente.
4.	Doble capacitor.
5.	Polos sombreados.

c.	Generador de inducción trifásico, auto-excitado (4 horas)
i.	Tipos de generadores de inducción
ii.	Circuito equivalente.
iii.	Capacitor de excitación.
iv.	Desempeño del generador, conectado a una red de potencia infinita.
v.	Desempeño del generador, conectado en forma aislada."
