id,evaluacion
CYD0107,"Examen Parcial;1;25
Examen Parcial;1;35
Proyecto grupal;1;25
Tareas digitales coordinadas;1;15"
IEM2308,"Examenes parciales; 0; 0
Tareas; 0; 0
Examenes cortos; 0; 0
Proyecto de investigación; 0; 0"
IEM2358,"Trabajo cotidiano  y presentación oral de las prácticas; 0; 0
Examenes cortos; 0; 0
Bitacoras de laboratorio; 0; 0"
IEM2111,"Quices y Tareas; 0; 25  
Proyectos; 0; 25  
Exámenes Parciales; 3; 50  "
IEM2201,"Primer parcial; 1;30
Segundo parcial; 1; 30
Tercer parcial; 1; 30
Proyecto programado; 1; 10"
IEM2202,"Primer Parcial; 1; 20
Segundo Parcial; 1; 20
Tercer Parcial; 1; 20
Proyecto de simulación; 1; 20
Evaluaciones cortas; 0; 20"
IEM2203,"Examen parcial 1; 1; 25
 Examen parcial 2; 1; 25
Prácticas de laboratorio; 0; 20 Proyecto de diseño; 1; 30"
IEM2203,"Exámenes parciales; 2; 40
Informe de pruebas de laboratorio; 0: 30
Proyecto de diseño : 1: 30"
IEM2204,"Primer parcial; 1; 25
Segundo parcial; 1; 25
Proyecto programado; 1; 25
Proyecto de diseño  -- 25%"
IEM2205,"I Examen Parcial; 1; 25
II Examen Parcial; 1; 25
III Examen Parcial; 1; 25
Exámenes cortos y tareas; 1; 25"
IEM2206,"I examen Parcial; 1; 35
II Examen Parcial; 1; 25
Exámenes cortos; 0; 20
Proyecto; 1; 20"
IEM2207,"I Examen Parcial; 1; 20
II Examen Parcial; 1; 20
III Examen Parcial; 0; 30
Proyecto; 1; 30"
IEM2208,"I Examen Parcial; 1; 20
II Examen Parcial; 1; 20
III Examen Parcial; 0; 30
Proyecto; 1; 30"
IEM2255,"Bitácoras; 0; 40
Tareas y quices; 0; 20
Casos de análisis; 0; 40"
IEM2256,"Bitácoras; 0; 40
Tareas y quices; 0; 20
Casos de análisis; 0; 40"
IEM2301,"Proyectos; 2; 35
Exámenes; 3; 45
Exposiciones; 2; 20"
IEM2302,"Tareas; 6;  40
Exámenes; 2; 40
Exposiciones; 2; 20"
IEM2303,"Exámenes; 2; 40
Tareas; 5; 25 
Prácticas dirigidas; 2; 10
Proyecto; 1; 25"
IEM2304,"Avance #1 TFI; 1; 25
Avance #2 TFI; 1; 25
Informe final TFI; 1; 15
Defensa TFI; 1; 10%
Exámenes cortos; 1; 25%"
IEM2305,"Informe escrito PFC; 1; 20
Defensa PFC; 1; 10
Exámenes cortos; 1; 20
Primer parcial; 1; 25
Segundo parcial; 1; 25"
IEM2306,"Exámenes; 2; 40
Tareas; 5; 25 
Prácticas dirigidas; 2; 10
Proyecto; 1; 25"
IEM2307,"Informe escrito PFC; 1; 20
Defensa PFC; 1; 10
Exámenes cortos; 1; 20
Primer parcial; 1; 25
Segundo parcial; 1; 25"
IEM2309,"Avance #1 TFI; 1; 20
Avance #2 TFI; 1; 20
Trabajo escrito IF; 1; 40
Presentación IF; 1; 20"
IEM2311,"Proyectos; 3;  60
Exposición de investigación; 2; 20
Quices; 4; 20%"
EM2102,"Pruebas cortas; 5; 25
Examen parcial; 1; 25
Examen parcial; 1; 30
Proyecto; 1; 20"
EM2108,"Pruebas cortas; 0; 15
Tareas, trabajos grupales; 0; 10
Proyecto grupal; 1; 15"
EM2107,"	Evaluaciones cortas; 5; 25
	Examen parcial I; 1; 30
	Examen parcial II; 1; 30
	Proyecto I	15%
	TOTAL	100%"
EM2106,"Quices y Tareas; 0; 25   
Proyectos; 0; 25   
Exámenes Parciales; 3; 50  "
MI4136,
MI4300,"Exámenes Parciales; 3; 75
Proyecto final; 1; 25"
MI2101,"I Examen Parcial; 1; 25
II Examen Parcial; 1; 35
Proyecto grupal; 1; 25
Tareas digitales coordinadas; 1; 15
"
MI2106,"Pruebas cortas; 5; 25
Examen parcial; 1; 25
Examen parcial; 1; 30
Proyecto en parejas; 1; 20"
MI2202,
MI2204,"Tareas y quices; 0; 50
Exámenes prácticos; 0; 50"
MI2205,"I Parcial; 1; 20
II Parcial; 1; 20
III Parcial; 1; 20
Tarea; 1; 10
Proyecto; 1; 10"
MI2207,"I Parcial; 1; 30
II Parcial; 1; 20
III Parcial; 1; 25
Tareas y exámenes cortos; 0; 25
"
MI3103,"Evaluaciones cortas; 10; 40
Proyecto; 1; 40
Examen; 1; 20"
MI3104,"Parte 2. Precisión
Proyecto; 1; 15
Informe; 0; 25
Maqueta; 1; 5
Investigación; 1; 5
Parte B. Soldadura
Proyecto; 1; 30
Informe; 0; 10
Investigación; 1; 10"
MI3108,"Quices y tareas; 0; 25
Exámenes parciales; 0; 50
Proyecto; 1; 25"
MI3111,
MI3115,"Evaluaciones cortas; 5; 25
Examen parcial I; 1; 30
Examen parcial II; 1; 30
Proyecto; 1; 15
"
MI3116,"Quices y Tareas; 0; 25
Proyectos; 0; 25
Exámenes Parciales; 3; 50"
MI3117,"Evaluaciones cortas; 5; 30
Examen I; 1; 10
Examen II; 1; 25
Examen III; 1; 15
Proyecto; 1; 20"
MI3119,
MI3124,"Proyecto; 1; 20
Pruebas cortas; 0; 15
I Parcial; 1; 25
II Parcial; 1; 30
Maqueta; 1; 10"
MI3130,
MI3138,"I Examen; 1; 25
II Examen; 1; 25
Quices; 4; 20
Tareas; 4; 20
Proyecto de investigación; 1; 10"
MI3206,"Tema de investigación; 1; 20
Reportes formales; 0; 5
Bitácoras; 0; 10
Quices y tareas; 0; 15
Análisis de casos; 3; 45
Exposición de laboratorio; 1; 5"
MI3209,"I Examen Parcial; 1; 20
II Examen Parcial; 1; 20
Taller de medicioes diodos; 1; 10
Taller de medicioes BJT; 1; 20
Proyecto de diseño; 1; 30"
MI3210,"I Examen Parcial; 1; 25
II Examen Parcial; 1; 20
III Examen Parcial; 1; 10
Exámenes cortos, trabajo en clase y tareas; 1; 35
Proyecto; 1; 10"
MI4125,"Quices, tareas, diagnósticos; 0; 30
Exámenes Parciales; 2; 70
"
MI4126,
MI4127,
MI4129,"Quices, tareas, trabajos en clase; 0; 30
Exámenes Parciales; 3; 70
"
MI4209,"Exposiciones; 1; 5
Proyectos; 3; 30
Exámenes Parciales; 3; 65"
