id,codigo,nombre,area,semestre,fila,horasTeoria,horasPractica,creditos,requisitos,correquisitos,esrequisito
IMI0001,CI0200,Examen de diagnóstico,BAS,0,1,0,0,0,,,IMI0102
IMI0002,CI0202,Ingles básico,BAS,0,2,2,0,2,,,IMI0102
IMI0101,MA0101,Matemática general,BAS,1,1,5,0,2,,,IMI0201;IMI0202
IMI0102,CI1230,Inglés I,BAS,1,2,3,0,2,IMI0001;IMI0002,,IMI0309
IMI0104,QU1106,Química básica I,BAS,1,4,4,0,3,,IMI0105,IMI0204;IMI0205;IMI0105
IMI0105,QU1102,Laboratorio de química básica I,BAS,1,5,0,2,1,,IMI0104,IMI0204;IMI0205;IMI0104
IMI0106,CA2125,Elementos de computación,BAS,1,6,4,0,3,,,
IMI0107,CS1502,Introducción a la técnica ciencia y tecnología,BAS,1,7,2,0,1,,,
IMI0108,CI1106,Comunicación escrita,BAS,1,8,3,0,2,,,
IMI0109,SE1200,Actividad deportiva I,BAS,1,9,0,2,0,,,
IMI0201,MA1102,Cálculo diferencial e integral,BAS,2,1,5,0,4,IMI0101,,IMI0301;IMI0302;IMI0402
IMI0202,FI1101,Física general I,BAS,2,2,4,0,3,,IMI0101,IMI0302;IMI0305;IMI0402;IMI0203
IMI0203,FI1201,Laboratorio de física general I,BAS,2,3,0,2,1,,IMI0202,IMI0302;IMI0303
IMI0204,QU1107,Química básica II,BAS,2,4,4,0,3,IMI0104;IMI0105,IMI0205,IMI0507;IMI0205
IMI0205,QU1104,Laboratorio de química básica II,BAS,2,5,0,2,1,IMI0104;IMI0105,IMI0204,IMI0204
IMI0207,MI2101,Dibujo técnico,SOL,2,7,4,0,3,,,IMI0305;IMI0306
IMI0208,CI1107,Comunicación oral,BAS,2,8,3,0,1,,,
IMI0209,SE1100,Actividad cultural I,BAS,2,9,0,2,0,,,
IMI0301,MA1103,Cálculo y algebra lineal,BAS,3,1,4,0,4,IMI0201,,IMI0401;IMI0404;IMI0501
IMI0302,FI1102,Física general II,BAS,3,2,4,0,3,IMI0202;IMI0203;IMI0201,,IMI0404
IMI0303,FI1202,Laboratorio de física general II,BAS,3,3,0,2,1,IMI0203,IMI0303,IMI0303
IMI0305,MI2106,Estática,SOL,3,5,4,0,3,IMI0202;IMI0207,,IMI0506
