id,metodologia
CYD0107,"Modalidad presencial en el horario de clase correspondiente. En las sesiones se expondrán los conceptos teóricos relevantes de cada tema por medio de material escrito o audiovisual, los cuales serán trabajados por el estudiante en numerosas prácticas realizadas en clases y tareas coordinadas."
IEM2308,"Clases magistrales por parte del profesor para la exposición de los temas, durante la clase el profesor  propone ejercicios para ser desarrollados por los estudiantes,  adicionalmente se asignan algunos temas complementarios seleccionados, para ser presentados por parte de los estudiantes ante el grupo, como una forma de promover el desarrollo de habilidades blandas, siendo ademas consecuentas con el módelo academico institucional. 
El desarollo de proyectos se considera importante en el desarrollo del curso, a traves de los cuales los estudiantes pueden desarrolar el espirituo creativo y proponer soluciones a problemas reales de aplicacion en los sectores productivos. La asistencia al curso es opcional. La evaluación del curso es acumulativa a traves de diferentes estrategias evaluativas."
IEM2358,"Lecciones prácticas realizadas en el laboratorio, en el que estudiante sigue las instrucciones del manual de laboratorio para el desarrollo de las prácticas,  desarrolladas en parejas de estudiantes, haciendo uso de equipos, instrumentos y materiales disponibles  en la escuela. Se espera que las prácticas  representen una comprobación de los conceptos teoricos y aplicaciones vistos en el curso de teoria, lo que quiere decir que este curso debe estar alineado con el curso de teoría. 
Semanalmente se brindan indicaciones y recomendaciones para el desarrollo de la práctica, de las cuales se tienen que entregar reportes, con las evidencias y análisis de los resulados y experiencias de los estudiantes. A cada estudiante se le asigna la presentación de un laboratorio, con la intención de que investigue y diriga a los demas estudiantes, bajo la supervisión del profesor.  Para el desarrollo de las prácticas propuestas, el estudiante deben investigar por su cuenta,  lo que se requiera hacer y  puede recurir a la hora de consulta, para evacuar consultas y validar lo realizado, de tal forma que durante la lección se enfoque en la presentación de resultados y evidencias de los hallazgos. Semanalmente el profesor evalua el desempeño del estudiante, calificando el trabajo cotidiano  y aporte para cumplir  con los entregables de las prácticas, las cuales deben ser presentadas en forma oral, siendo evaluadas a traves de una rúbrica, utilizando la plataforma de Tec Digital. "
IEM2111,"Clases magistrales de asistencia opcional, donde se expondrán los conceptos relevantes de cada tema, los cuales serán trabajados por el estudiante en numerosas prácticas de tareas y quices. El alumno podrá consultar al profesor en el horario preestablecido para evacuar cualquier duda, sea del contenido teórico y/o de las tareas relativas a proyectos asignados. Durante el curso el estudiante participará de actividades en clase, como preguntas dirigidas por el profesor, trabajos en grupos para resolver ejercicios dirigidos puntuales y específicos sobre un tema desarrollado en la lección correspondiente. Se realizarán exámenes parciales que pretenden evaluar la materia vista en clases, presenciales y/o materia asignada a través de tareas de resolución de ejercicios e investigaciones asignadas. Se asignará a los estudiantes de dos proyectos de curso que se realizarán en grupos de no más de 3 integrantes. En cada proyecto se desarrollará uno de los 3 grandes temas del curso (Suministro de Agua, Aire Comprimido, Ventilación). Estos proyectos tienen una salida de Diseño, en donde se solicitará cumplir con ciertos requerimientos.  "
IEM2201,"Lecciones de asistencia libre, donde se expondrán los conceptos relevantes de cada tema. Los documentos y noticias se publicarán oficialmente en el TECDigital. Los contenidos serán desarrollados en clases magistrales, presentaciones en PowerPoint, ejemplos resueltos y ejercicios propuestos; siendo evaluados en tareas y exámenes. 
Se utilizarán además actividades formativas para reforzar el aprendizaje de los conceptos vistos, de forma complementaria se pondrán a disposición guías de estudio, texto de referencia, videos, ejercicios tomados de exámenes de semestres anteriores, entre otros. 
Los exámenes parciales y cortos se aplicarán de forma presencial en fechas y modos que oportunamente se indicarán según lo previsto por el RREA; la publicación de estos se hará en el TECDigital y los correos oficiales de los estudiantes según la lista del DAR.
Con el curso se pretende trabajar en el objetivo de desarrollo sostenible (ODS) número 4 “Garantizar una educación inclusiva y equitativa de calidad y promover oportunidades de aprendizaje permanente para todos”. En particular las siguientes acciones:
De aquí a 2030, asegurar el acceso igualitario de todos los hombres y las mujeres a una formación técnica, profesional y superior de calidad, incluida la enseñanza universitaria.
De aquí a 2030, aumentar considerablemente el número de jóvenes y adultos que tienen las competencias necesarias, en particular técnicas y profesionales, para acceder al empleo, el trabajo decente y el emprendimiento."
IEM2202,
IEM2203,"Lecciones regulares de asistencia opcional, donde se expondrán conceptos relevantes de cada tema y se asignarán lecturas o prácticas del material bibliográfico. Se propiciará el trabajo en equipo y las experiencias de diseño en ingeniería por medio de proyectos en grupo. Se implementarán prácticas guiadas de laboratorio para complementar la teoría desarrollada en clases, estas prácticas se realizarán fuera del horario de clase, el número de estas prácticas y el momento de realizarlas se negociarán con los estudiantes. Cada una de estas prácticas generará un informe formal técnico con los resultados, conclusiones y recomendaciones. Se realizará un proyecto de diseño para que los estudiantes resuelvan un problema simulado por medio de dispositivos electrónicos analógicos y digitales. El producto entregado será una solución implementada y probada en un simulador (a escoger por cada grupo de trabajo) y un informe técnico donde se explique el diseño."
IEM2203,
IEM2204,"Lecciones de asistencia libre, donde se expondrán los conceptos relevantes de cada tema. Los documentos y noticias se publicarán oficialmente en el TEC-Digital. Los contenidos serán desarrollados en clases magistrales, presentaciones en PowerPoint, ejemplos resueltos y ejercicios propuestos; siendo evaluados en tareas y exámenes. 

Se utilizarán además actividades formativas para reforzar el aprendizaje de los conceptos vistos, de forma complementaria se pondrán a disposición guías de estudio, texto de referencia, videos, ejercicios tomados de exámenes de semestres anteriores, entre otros.

Se realizarán proyectos de diseño en donde se buscará una solución creativa a un problema de ingeniería utilizando lógica digital, esta solución será presentada en un simulador o bien se programará en C.
Los exámenes parciales y cortos se aplicarán de forma presencial en fechas y modos que oportunamente se indicarán según lo previsto por el RREA; la publicación de estos se hará en el TEC-Digital y los correos oficiales de los estudiantes según la lista del DAR.

Con el curso se pretende trabajar en el objetivo de desarrollo sostenible (ODS) número 4 “Garantizar una educación inclusiva y equitativa de calidad y promover oportunidades de aprendizaje permanente para todos”. En particular las siguientes acciones:
"
IEM2205,"Se ofrecerán clases magistrales de manera presencial, en las cuales se presentarán los conceptos relevantes de cada tema. Estos conceptos serán luego abordados por los estudiantes a través de numerosas prácticas, tareas y exámenes cortos. Durante el horario establecido, los estudiantes tendrán la oportunidad de consultar al profesor para aclarar dudas relacionadas tanto con el contenido teórico como con las tareas relacionadas a proyectos asignados.
A lo largo del curso, se fomentará la participación de los estudiantes en diversas actividades en clase, como preguntas dirigidas por el profesor y trabajos en grupos para resolver ejercicios específicos relacionados con los temas tratados en las lecciones correspondientes. Además, se llevarán a cabo exámenes parciales con el fin de evaluar el material cubierto en clase, ya sea presencialmente o a través de tareas de resolución de ejercicios e investigaciones asignadas."
