id,profesores
CYD0107,LCR0;CVS0;NUS0;JGF0;HJQ0;COZ0;VJH0;FBG0;JGC0;JRG0;LSM0;MMC0;FMG0;LCG0;MJC0;MBC0
FPH0108,AGZ0;JMJ0;LSM0
AUT0205,PPC0
IMM0207,CVS0;LSM0;LCR0;MBC0;JPS0;JGF0;MMC0;JMH0;GRN0
IEE0303,LAR0;NVP0;OGC0;GBG0
IEE0304,LAR0;NVP0;LGG0;SMC0
IEE0305,JRH0;LMS0
IMM0307,JMJ0;COZ0;FMG0;GRN0
IEE0403,NVP0;OGC0;LAR0;GBG0
IEE0404,NVP0;OGC0;LAR0;GBG0
IEE0405,JRH0;LMS0
IMM0407,IVG0;REH0
ADD0502,PDPI
IEE0503,NVP0;LAR0
AUT0504,JGF0;LMS0
IMM0506,PDPI
IMM0507,JRG0;FBG0;COZ0;LCR0
IMM0508,JRG0;FBG0;LCR0
ADD0602,SMO0;CPS0;JMJ0;JAC0
IEE0604,NVP0;LAR0;LGG0
IMM0605,NUS0;MMC0;JMH0;LCG0
IMM0607,REH0;GRN0
IMM0608,OMR0;JGC0;JAC0;IVG0
CYD0609,LSM0;FBG0;JRG0;VJH0;HJQ0
FPH0701,SMO0;CPS0
IEE0702,OGC0;GBG0;GGR0;NVP0
IEE0703,OGC0;GBG0;GGR0;NVP0;SMO0
AUT0704,JGF0
AUT0705,NVP0
IMM0706,NUS0;MMC0;CVS0
IMM0707,IVG0;AGZ0
IMM0708,IVG0;AGZ0
IEE0802,OGC0;GBG0;GGR0;NVP0
IEE0803,OGC0;GBG0;GGR0;NVP0;SMO0
AUT0804,LGG0;LMS0
AUT0805,LGG0;LMS0;JRH0
INS0801,GGR0;GBG0;GMJ0;LMC0
INS0806,GGR0;GBG0;JPS0
INS0807,AGZ0;IVG0;OMR0
INS0808,SMO0;CPS0;JMJ0;JAC0
INS0901,GGR0;GMJ0;LMC0
INS0903,IVG0;SMO0;OMR0
INS0904,OMR0;JAC0;JGC0
INS0905,SMO0;CPS0;GGR0
INS0906,JAC0;JGC0;AGZ0
INS0907,OMR0;JGC0;JAC0
INS0908,AGZ0
INS0909,OMR0;JAC0;JGC0
INS1003,OGC0;GBG0;SMO0;CPS0
INS1005,SMO0;IVG0;GBG0;LGG0
INS1006,SMO0;CPS0;JAC0
INS1007,OMR0;OGC0
INS1201,LMC0;GGR0
INS1202,JAC0;AGZ0
INS1203,RMC0;GBG0
AER0801,OMR0;VJH0
AER0807,NUS0
AER0808,OMR0
AER0901,NVP0;PPC0
AER0902,GRN0
AER0903,JMJ0
AER0906,VJH0
AER0908,OMR0
AER1001,CPS0
AER1002,PPC0
AER1003,JGC0
AER1201,VJH0
AER1202,PPC0
AER1203,VJH0;PPC0
SCF0801,JMJ0
SCF0806,CVS0;MMC0
SCF0807,NVP0
SCF0808,HEV0
SCF0901,LCR0;FMG0
SCF0902,JRH0
SCF0903,FMG0;JMJ0
SCF0906,JGF0
SCF0907,LGG0;LMS0
SCF1001,JRH0;PPC0
SCF1002,LMS0;PPC0
SCF1007,LMS0;PPC0
SCF1201,JGF0
SCF1202,GGR0
SCF1203,PPC0
