id,programa,semestre
CYD0107,Ingeniería Electromecánica,1
AUT0205,Ingeniería Electromecánica,2
IEE0303,Ingeniería Electromecánica,3
IEE0304,Ingeniería Electromecánica,3
IEE0305,Ingeniería Electromecánica,3
IEE0403,Ingeniería Electromecánica,4
IEE0404,Ingeniería Electromecánica,4
IEE0405,Ingeniería Electromecánica,4
IMM0407,Ingeniería Electromecánica,4
ADD0502,Ingeniería Electromecánica,5
IEE0503,Ingeniería Electromecánica,5
AUT0504,Ingeniería Electromecánica,5
ADD0602,Ingeniería Electromecánica,6
IEE0604,Ingeniería Electromecánica,6
IEE0702,Ingeniería Electromecánica,7
AUT0704,Ingeniería Electromecánica,8
IEE0802,Ingeniería Electromecánica,8
INS0801,Ingeniería Electromecánica con énfasis en Instalaciones Electromecánicas,8
SCF0801,Ingeniería Electromecánica con énfasis en Sistemas Ciberfísicos,8
