semestre,codigo,curso,profesor
1,EE0107,Dibujo técnico,Luis Felipe Córdoba Ramírez
1,EE0107,Dibujo técnico,Christopher Vega Sánchez
1,EE0107,Dibujo técnico,Noel Jacob Ureña Sandí
1,EE0107,Dibujo técnico,Juan Luis Guerrero Fernández
1,EE0107,Dibujo técnico,Herberth Jackson Quirós
1,EE0107,Dibujo técnico,Carlos Otárola Zúñiga
1,EE0107,Dibujo técnico,Víctor Julio Hernández
1,EE0107,Dibujo técnico,Francisco Bonilla Guido
1,EE0107,Dibujo técnico,Joshua Guzmán Conejo
1,EE0107,Dibujo técnico,Julio César Rojas Gómez
1,EE0107,Dibujo técnico,Laura Salas Moya
1,EE0107,Dibujo técnico,Manuel Francisco Mata Coto
1,EE0107,Dibujo técnico,Frank Marín Guillén
1,EE0107,Dibujo técnico,Luis Chévez Gómez
1,EE0107,Dibujo técnico,Maximino Jimenez Ceciliano
1,EE0107,Dibujo técnico,Marvin Bermúdez Chacón
1,EE0108,Introducción a la ingeniería electromecánica,Alberto Garro Zavaleta
1,EE0108,Introducción a la ingeniería electromecánica,Juan José Montero Jimenez
1,EE0108,Introducción a la ingeniería electromecánica,Laura Salas Moya
2,CA0205,Fundamentos de organización de computadoras,
2,EE0207,Estática,Christopher Vega Sánchez
2,EE0207,Estática,Laura Salas Moya
2,EE0207,Estática,Luis Felipe Córdoba Ramírez
2,EE0207,Estática,Marvin Bermúdez Chacón
2,EE0207,Estática,Juan Francisco Piedra Segura
2,EE0207,Estática,Juan Luis Guerrero Fernández
2,EE0207,Estática,Manuel Francisco Mata Coto
2,EE0207,Estática,Julio Andrés Morera Hidalgo
2,EE0207,Estática,Gustavo Richmond Navarro
3,EE0303,Análisis de circuitos I,Lisandro Araya Rodriguez
3,EE0303,Análisis de circuitos I,Nicolás Vaquerano Pineda
3,EE0303,Análisis de circuitos I,Osvaldo Guerrero Castro
3,EE0303,Análisis de circuitos I,Greivin Barahona Guzmán
3,EE0304,Laboratorio de circuitos I,Lisandro Araya Rodriguez
3,EE0304,Laboratorio de circuitos I,Nicolás Vaquerano Pineda
3,EE0304,Laboratorio de circuitos I,Luis Gómez Gutierrez
3,EE0304,Laboratorio de circuitos I,Suzanne Melara Cruz
3,EE0305,Transductores,Juan José Rojas Hernández
3,EE0305,Transductores,Luis Diego Murillo Soto
3,EE0307,Dinámica,Juan José Montero Jimenez
3,EE0307,Dinámica,Carlos Otárola Zúñiga
3,EE0307,Dinámica,Frank Marín Guillén
3,EE0307,Dinámica,Gustavo Richmond Navarro
4,EE0403,Análisis de circuitos II,Nicolás Vaquerano Pineda
4,EE0403,Análisis de circuitos II,Osvaldo Guerrero Castro
4,EE0403,Análisis de circuitos II,Lisandro Araya Rodriguez
4,EE0403,Análisis de circuitos II,Greivin Barahona Guzmán
4,EE0404,Laboratorio de circuitos II,Nicolás Vaquerano Pineda
4,EE0404,Laboratorio de circuitos II,Osvaldo Guerrero Castro
4,EE0404,Laboratorio de circuitos II,Lisandro Araya Rodriguez
4,EE0404,Laboratorio de circuitos II,Greivin Barahona Guzmán
4,EE0405,Instrumentación,Juan José Rojas Hernández
4,EE0405,Instrumentación,Luis Diego Murillo Soto
4,EE0407,Termodinámica,Ignacio del Valle Granados
4,EE0407,Termodinámica,Rodolfo Elizondo Hernandez
5,PI0502,Estadística aplicada,
5,EE0503,Sistemas analógicos,Nicolás Vaquerano Pineda
5,EE0503,Sistemas analógicos,Lisandro Araya Rodriguez
5,EE0504,Modelado y simulación de sistemas,Juan Luis Guerrero Fernández
5,EE0504,Modelado y simulación de sistemas,Luis Diego Murillo Soto
5,ME2208,Ciencia de los materiales,
5,EE0507,Manufactura,Julio César Rojas Gómez
5,EE0507,Manufactura,Francisco Bonilla Guido
5,EE0507,Manufactura,Carlos Otárola Zúñiga
5,EE0507,Manufactura,Luis Felipe Córdoba Ramírez
5,EE0508,Laboratorio de manufactura,Julio César Rojas Gómez
5,EE0508,Laboratorio de manufactura,Francisco Bonilla Guido
5,EE0508,Laboratorio de manufactura,Luis Felipe Córdoba Ramírez
6,EE0602,Fiabilidad y disponibilidad de sistemas electromecánicos,Sebastián Mata Ortega
6,EE0602,Fiabilidad y disponibilidad de sistemas electromecánicos,Carlos Piedra Santamaria
6,EE0602,Fiabilidad y disponibilidad de sistemas electromecánicos,Juan José Montero Jimenez
6,EE0602,Fiabilidad y disponibilidad de sistemas electromecánicos,Juan Pablo Arias Cartín
6,EE0604,Sistemas digitales,Nicolás Vaquerano Pineda
6,EE0604,Sistemas digitales,Lisandro Araya Rodriguez
6,EE0604,Sistemas digitales,Luis Gómez Gutierrez
6,EE0605,Resistencia de materiales,Noel Jacob Ureña Sandí
6,EE0605,Resistencia de materiales,Manuel Francisco Mata Coto
6,EE0605,Resistencia de materiales,Julio Andrés Morera Hidalgo
6,EE0605,Resistencia de materiales,Luis Chévez Gómez
6,EE0607,Mecánica de fluidos,Rodolfo Elizondo Hernandez
6,EE0607,Mecánica de fluidos,Gustavo Richmond Navarro
6,EE0608,Laboratorio de mecánica de fluidos,Oscar Monge Ruiz
