codigo,nombre,CIB01,FPH01,FPH02,FPH03,CYD01,IEE01,IEE02,IEE03,IMM01,IMM02,AUT01,AUT02,AUT03,ADD01,INS01,INS02,INS03,INS04,INS05,AER01,AER02,AER03,AER04,AER05,AER06,SCF01,SCF02,SCF03,SCF04,SCF05,LID01,SYC02
MA0101,Matemática general,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CI0205,Prueba avanzada de inglés,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA1102,Cálculo diferencial e integral,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FI1101,Física general I,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FI2201,Laboratorio de física general I,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QU1106,Química básica I,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QU1102,Laboratorio de química básica I,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CI1106,Comunicación escrita,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,
MI2101,Dibujo técnico,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,
MI0701,Introducción a la Ingeniería Electromecánica,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FH1000,Centros de formación humanística,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA1103,Cálculo y álgebra lineal,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FI1102,Física general II,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FI1202,Laboratorio de física general II,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAXXXX,Introducción a la computación,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,
CI1107,Comunicación oral,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,
MI2106,Estática,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
CS1502,Introducción a la técnica ciencia y tecnología,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CS2303,Relaciones laborales,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA2105,Ecuaciones diferenciales,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FI2103,Física general III,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MI0702,Análisis de circuitos I,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,
MI0703,Laboratorio de circuitos I,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,
MI0704,Transductores,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,
MI3117,Dinámica,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
CS3404,Seminario de ética para la ingeniería,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SE1100,Actividad cultural I,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA2104,Cálculo superior,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CM3207,Métodos numéricos para ingeniería,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MI0706,Análisis de circuitos II,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,
MI0707,Laboratorio de circuitos II,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,
MI0708,Instrumentación,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,
MI3130,Termodinámica,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
CS4402,Seminario de estudios costarricenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SE1200,Actividad deportiva I,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AE4208,Desarrollo de emprendedores,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MI0705,Estadística aplicada,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,
MI0712,Modelado y simulación de sistemas,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,
ME220X,Ciencia e ingeniería de los materiales,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,
MI0713,Manufactura,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,
MI0714,Laboratorio de manufactura,,,,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,
CI3203,Inglés para Electromecánica,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,
MI0717,Metodología de la investigación,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MI0715,Sistemas analógicos y digitales,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,
MI3115,Resistencia de materiales,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
CM4108,Transferencia de calor,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
MI3108,Mecánica de fluidos,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
MI3111,Laboratorio de mecánica de fluidos,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
MI3124,Dibujo industrial,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,
MI0718,Máquinas eléctricas I,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,
MI0719,Laboratorio de máquinas eléctricas I,,,,,,X,X,,,X,,,,,,,,,,,,,,,,,,,,,,
MI0720,Control automático,,,,,,,,,,X,,,X,,,,,,,,,,,,,,,,,,,
MI0721,Microcontroladores,,,,,,,X,,,,,X,,,,,,,,,,,,,,,,,,,,
MI4136,Elementos de máquinas,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,
MI0722,Laboratorio de máquinas eléctricas II,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,
MI0723,Control por eventos discretos,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,
MI0724,Laboratorio de control,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,
SE1400,Actividad cultural - deportiva,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MI0801,Sistemas electricos de transmisión y distribución,,,,,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,
MI4212,Instalaciones eléctricas,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,X,
MI3116,Turbomáquinas,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,
MI3119,Laboratorio de turbomáquinas,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,
MI0802,Sistemas de generación y almacenamiento de energía,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
MI0804,Instalaciones mecánico-sanitarias,,,,,,,,,,,,,,,X,,,X,,,,,,,,,,,,,,X
MI0805,Sistemas de vapor,,,,,,,,,,,,,,,X,,,X,,,,,,,,,,,,,,
MI0806,Laboratorio de Sistemas de Vapor,,,,,,,,,,,,,,,X,,,X,,,,,,,,,,,,,,
MI0807,Sistemas de refrigeración y aire acondicionado,,,,,,,,,,,,,,,X,,,X,,,,,,,,,,,,,,
MI0808,Laboratorio de refrigeración y aire acondicionado,,,,,,,,,,,,,,,X,,,X,,,,,,,,,,,,,,
MI0809,Taller de neumática y oleohidráulica,,,,,,,,,,,,,,,X,,,X,X,,,,,,,,,,,,X,
MI0803,Gestión de la energía,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,X
MI1101,Trabajo final de graduación,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X
MI0901,Aviónica,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,
MI0728,Máquinas y mecanismos,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,X,,,
MI0909,Materiales en aeronáutica,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,
MI0903,Taller de metrología aeronáutica,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,X,
MI0905,Sistemas de aeronaves de ala fija y giratoria,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,
MI0906,Sistemas de aeronaves no tripulados y de despegue vertical,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,
MI0907,Aerodinámica y dinámica de vuelo,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,
MI0904,Sistemas de propulsión,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,
MI0910,Análisis mecánico de estructuras de la aeronave,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,
MI0912,Gestión del ciclo de vida de la aeronave,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,X
MI0913,Control automático de vuelo y tráfico,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,X,
MI0911,Análisis de mecanismos de la aeronave,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,
MI1001,Ingeniería de sistemas,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,X,
MI1002,Sistemas embebidos en tiempo real,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,
MI1003,Fundamentos de ciberseguridad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MI1004,Modelado numérico y simulación computacional,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,
MI1005,Circuitos integrados y aplicaciones,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,
MI1006,Machine Learning e Inteligiencia Artificial,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,
MI1007,Robótica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,
MI1008,Internet de las cosas y domótica,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,X,,,X
MI1010,Taller de integración de sistemas,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,X,
MI1011,Diseño de interfases humano-máquina,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,X
MI1009,Visión de máquina,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,X,,,
