area,cred_TRC,pt_TRC,pm_TRC,cred_INS,pt_INS,pm_INS,cred_AER,pt_AER,pm_AER,cred_SCF,pt_SCF,pm_SCF
ADD,4.0,3.0,3.0,4.0,2.25,2.2,4.0,2.25,2.2,4.0,2.25,2.2
AER,0.0,0.0,0.0,0.0,0.0,0.0,45.0,25.0,25.0,0.0,0.0,0.0
AUT,15.0,11.0,11.1,15.0,8.25,8.3,15.0,8.25,8.3,15.0,8.25,8.3
CIB,36.0,27.0,26.7,36.0,20.25,20.0,36.0,20.25,20.0,36.0,20.25,20.0
CYD,10.0,7.0,7.4,10.0,5.25,5.6,10.0,5.25,5.6,10.0,5.25,5.6
FPH,11.0,8.0,8.1,11.0,6.0,6.1,11.0,6.0,6.1,11.0,6.0,6.1
IEE,26.0,20.0,19.3,26.0,15.0,14.4,26.0,15.0,14.4,26.0,15.0,14.4
IMM,33.0,24.0,24.4,33.0,18.0,18.3,33.0,18.0,18.3,33.0,18.0,18.3
INS,0.0,0.0,0.0,45.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0
SCF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,25.0,25.0
TOT,135.0,100.0,100.0,180.0,100.0,99.9,180.0,100.0,99.9,180.0,100.0,99.9
