codEje,eje
EJT01,El ser humano como principio y fin de la actividad institucional
EJT02,El respeto a las diferencias de todas las personas
EJT03,La necesidad de la formación integral de las personas
EJT04,"El acceso y permanencia en igualdad de oportunidades a las personas con potencial, sin distingos de etnia, religión, género, desarrollo psicoeducativo, necesidades especiales, condición socioeconómica y tendencia política"
EJT05,El fomento y fortalecimiento de la protección y sostenibilidad ambiental
EJT06,La excelencia en sus diferentes actividades
EJT07,La planificación como parte sustantiva e integral orientada al logro de la misión y visión institucionales
EJT08,"La rendición de cuentas, transparencia de la información y cultura de evaluación"
EJT09,El fomento y fortalecimiento de la cultura de paz
ODS07,Energía asequible y no Contaminante
ODS09,"Industria, innovación e infraestructura"
MCA01,"Comprender en forma crítica el cuerpo conceptual, metodológico, procedimental y normativo, que le permitirá el ejercicio de su profesión en el contexto nacional e internacional"
MCA02,Identificar oportunidades y riesgos para la innovación y adaptación de conocimientos y tecnologías para resolver problemas
MCA03,"Demostrar pensamiento crítico, actitud investigativa y rigor analítico en el planteamiento y la resolución de problemas complejos"
MCA04,"Aplicar los conocimientos de su disciplina en la elaboración, fundamentación y defensa de argumentos para prevenir y resolver problemas complejos en su campo profesional, identificando y aplicando innovaciones"
MCA05,Proponer e implementar nuevos procedimientos y metodologías aplicables a la solución de problemas complejos y mejora de su campo profesional"
MCA06,"Tomar decisiones profesionales con base en fundamentos teóricos, datos e información pertinente, válida y confiable"
MCA07,"Identificar sus necesidades de actualización, capacitación y formación, durante su proceso formativo y en el ejercicio profesional, y busca los medios para cubrirlas"
MCA08,"Comunicar información de su campo profesional de manera asertiva, clara, rigurosa y precisa, tanto en inglés como en español"
MCA09,"Utilizar el inglés con el dominio requerido para el ejercicio de su profesión"
MCA10,Liderar y colaborar proactivamente en equipos de trabajo y comunidades profesionales para el logro de objetivos y mejoramiento de la calidad de vida
