codigo,nombre,presupuest
02077401,AutoCad,16095861.20
02079101,Técnico en electromecánica,148210155.85
02083801,Capacitación en automatización industrial,84893175.40
02083901,Programa de educación continua,15098267.34
02087201,Ténico en electricidad industrial,74915650.77
03046501,Evaluación de la calidad de servicio aeropuertarios,38361644.85
03047501,Consultoría para viabilidad de realizar técnicas,7716750.00
06004401,Maestría en electromecánica,92810970.70
10002601,DeltaLAB,391921.43
,Total administrado por coordinadores,478494397.54
04003001,Escuela de Ingeniería Electromecánica,23863116.44
04020801,CETMA,2641398.62
,Total administrado por la Dirección,26504515.06
