codSaber,codEjes
CIB01,MCA01
FPH01,EJT01;EJT03;EJT09;MCA07
FPH02,EJT06;ODS09;MCA02
FPH03,EJT07;EJT08;MCA03;MCA10
CYD01,EJT03;MCA08;MCA09
IEE01,MCA01
IEE02,MCA01
IEE03,MCA01
IMM01,MCA01
IMM02,MCA01
AUT01,MCA01
AUT02,MCA01
AUT03,MCA01
ADD01,MCA01
ADD02,MCA01
INS02,ODS07;MCA01;MCA06
INS03,ODS07;MCA01;MCA06
INS04,ODS08;MCA01;MCA06
INS05,EJT07;ODS09;MCA01;MCA06
AER01,ODS09;MCA01;MCA06
AER02,MCA01;MCA06
AER03,MCA01;MCA06
AER04,EJT07;ODS09;MCA01;MCA06
AER05,MCA01;MCA06
SCF01,MCA01;MCA06
SCF02,ODS09;MCA01;MCA06
SCF03,ODS09;MCA01;MCA06
SCF04,MCA01;MCA06
SCF05,EJT07;MCA01;MCA06
SCF07,ODS09;MCA01;MCA06
SCF08,MCA01;MCA06
LID01,EJT02;EJT04;EJT06;MCA03;MCA10
SYC02,EJT01;EJT05
IPR01,EJT08;MCA02;MCA03;MCA04;MCA05;MCA06;MCA07;MCA08
