codSaber,codRasgo,rasgo
MAT;FIS;QUI,CIB01,"Conocer y aplicar los fundamentos de la matemática, la física, y la química necesarios para el análisis, diseño y desarrollo de sistemas electromecánicos"
ECS;HIP,FPH01,"Actuar con integridad y responsabilidad social en el ejercicio de la ingeniería, fomentando una comunicación efectiva y una actitud colaborativa en equipos de trabajo, y promoviendo una cultura de salud, seguridad y bienestar en el entorno laboral"
EMP,FPH02,"Identificar oportunidades de negocio en el ámbito de la ingeniería, desarrollando soluciones innovadoras y sostenibles que agreguen valor a la sociedad"
ADP,FPH03,"Administrar eficientemente proyectos, garantizando el cumplimiento de objetivos técnicos, financieros y de tiempo"
COE;ING;DPI,CYD01,"Estructurar sus ideas de manera clara y transmitirlas de forma oral, escrita o mediante dibujos de ingeniería, tanto en español como en inglés"
CEE,IEE01,"Conocer y aplicar los principios de los circuitos eléctricos y la electrónica, y analizar su funcionamiento en las diversas aplicaciónes en ingeniería electromecánica"
MEE,IEE02,"Evaluar el comportamiento de las máquinas electricas y sus accionamientos bajo diversas condiciones de operación, así como analizar su diseño y aplicaciones"
IYT,IEE03,"Implementar sistemas de instrumentación para la medición y modificación de variables físicas en sistemas electromecánicos"
CIM;MAN,IMM01,"Evaluar las caracteristicas de los materiales y seleccionar los procesos de manufactura adecuados para el desarrollo y la producción de sistemas electromecánicos"
MSF;TTC;EDM,IMM02,"Aplicar los principios de la mecánica de sólidos y fluidos, termodinámica y transferencia de calor para  analizar el comportamiento de los sistemas electromecánicos"
PRO,AUT01,"Desarrollar soluciones de software para el control y procesamiento de datos en sistemas electromecánicos"
MAC,AUT02,"Desarrollar soluciones de hardware usando microcontroladores para el control y procesamiento de datos en sistemas electromecánicos"
SCA;MYS,AUT03,"Diseñar e implementar sistemas de control y automatización en sistemas electromecánicos integrando modelado y simulación"
EYD;CDM,ADD01,"Aplicar herramientas estadísticas para diseñar experimentos, evaluar datos con rigor científico, y garantizar la confiabilidad, disponibilidad, mantenibilidad y seguridad en sistemas electromecánicos"
MET,ADD02,"Aplicar principios de metrología para medir variables físicas en sistemas electromecánicos"
GAE,INS01,"Desarrollar soluciones de generación y almacenamiento de energía para autoconsumo y venta de energía"
DTE,INS02,"Comprender los fundamentos de los sistemas de distribución y transmisión de energía eléctrica"
IEM;GEE,INS03,"Supervisar y gestionar el diseño, especificaciones, instalación, operación y mantenimiento de sistemas electromecánicos, con un enfoque en la gestión eficiente de la energía"
GCV,INS04,"Gestionar el ciclo de vida de sistemas electromecánicos considerando la viabilidad de su transformación digital"
ADC,AER01,"Desarrollar sistemas de control automático de vuelo, aplicando conocimientos en aviónica y dinámica de vuelo"
ACP,AER02,"Comprender los principios fundamentales de aerodinámica y sistemas de propulsión"
AME,AER03,"Aplicar los principios de la mecánica, integrando modelado y simulación para evaluar el comportamiento de materiales, estructuras y mecanismos en la aeronave"
GCA,AER04,"Gestionar el ciclo de vida de las aeronaves, optimizando su mantenimiento y eficiencia operativa"
SAA,AER05,"Asegurar la seguridad aeronáutica y la aeronavegabilidad, aplicando normativa internacional"
ASE,SCF01,"Desarrollar aplicaciones de sistemas embebidos integrados en sistemas electromecánicos"
AYD,SCF02,"Automatizar y digitalizar procesos industriales y de servicios"   
RBT,SCF03,"Desarrollar sistemas de robótica para aplicaciones industriales y de servicios" 
MNC,SCF04,"Modelar y simular sistemas ciberfísicos con herramientas computacionales"
ISC,SCF05,"Desarrollar sistemas complejos que integren componentes físicos y digitales"
AIA,SCF06,"Desarrollar aplicaciones de Inteligencia Artificial integrada en sistemas electromecánicos"
CIS,SCF07,"Conocer e identificar las estrategias fundamentales de ciberseguridad para proteger sistemas y redes"
LID,LID01,"Liderar equipos de trabajo promoviendo el pensamiento crítico, la colaboración y la innovación, fomentando una convivencia respetuosa e inclusiva"
SYC,SYC01,"Impulsar el progreso sostenible y la mejora en la calidad de vida del mayor número de personas como objetivos centrales de la ingeniería"
IPR,IPR01,"Desarrollar habilidades en investigación y presentación de resultados con rigor científico y ético."
