rasgo,EJT01,EJT02,EJT03,EJT04,EJT05,EJT06,EJT07,EJT08,EJT09,MCA01,MCA02,MCA03,MCA04,MCA05,MCA06,MCA07,MCA08,MCA09,MCA10,ODS07,ODS09
CIB01,,,,,,,,,,X,,,,,,,,,,,
FPH01,X,,X,,,,,,X,,,,,,,X,,,,,
FPH02,,,,,,X,,,,,X,,,,,,,,,,X
FPH03,,,,,,,X,X,,,,X,,,,,,,X,,
CYD01,,,X,,,,,,,,,,,,,,X,X,,,
IEE01,,,,,,,,,,X,,,,,,,,,,,
IEE02,,,,,,,,,,X,,,,,,,,,,,
IEE03,,,,,,,,,,X,,,,,,,,,,,
IMM01,,,,,,,,,,X,,,,,,,,,,,
IMM02,,,,,,,,,,X,,,,,,,,,,,
AUT01,,,,,,,,,,X,,,,,,,,,,,
AUT02,,,,,,,,,,X,,,,,,,,,,,
AUT03,,,,,,,,,,X,,,,,,,,,,,
ADD01,,,,,,,,,,X,,,,,,,,,,,
ADD02,,,,,,,,,,X,,,,,,,,,,,
INS01,,,,,,,,,,X,,,,,X,,,,,X,
INS02,,,,,,,,,,X,,,,,X,,,,,X,
INS03,,,,,,,,,,X,,,,,X,,,,,,X
INS04,,,,,,,X,,,X,,,,,X,,,,,,X
AER01,,,,,,,,,,X,,,,,X,,,,,,X
AER02,,,,,,,,,,X,,,,,X,,,,,,
AER03,,,,,,,,,,X,,,,,X,,,,,,
AER04,,,,,,,X,,,X,,,,,X,,,,,,X
AER05,,,,,,,,,,X,,,,,X,,,,,,
SCF01,,,,,,,,,,X,,,,,X,,,,,,
SCF02,,,,,,,,,,X,,,,,X,,,,,,X
SCF03,,,,,,,,,,X,,,,,X,,,,,,X
SCF04,,,,,,,,,,X,,,,,X,,,,,,
SCF05,,,,,,,X,,,X,,,,,X,,,,,,
SCF07,,,,,,,,,,X,,,,,X,,,,,,X
SCF08,,,,,,,,,,X,,,,,X,,,,,,
LID01,,X,,X,,X,,,,,,X,,,,,,,X,,
SYC02,X,,,,X,,,,,,,,,,,,,,,,
IPR01,,,,,,,,X,,,X,X,X,X,X,X,X,,,,
