"id","codigo","nombre","creditos","descripcion","objetivo","contenidos"
"CYD0107","EE0107","Dibujo técnico","3","El curso de Dibujo técnico aporta en el desarrollo del siguiente rasgo del plan de estudios: estructurar sus ideas de manera clara y transmitirlas de forma oral, escrita o mediante dibujos de ingeniería, tanto en español como en inglés
Los aprendizajes que los estudiantes desarrollarán en el curso son: desarrollar la inteligencia espacial y la capacidad de la elaboración de bocetos a mano alzada y el uso de instrumentos básicos de dibujo, con el fin de interpretar y comunicar eficazmente ideas en el ámbito de la ingeniería; comprender los fundamentos teóricos del dibujo técnico básico necesarios para la correcta construcción de proyecciones ortogonales y axonométricas, escalas y acotado de cuerpos geométricos; usar las normas de dibujo, en particular las normas INTE/ISO y ANSI, para construir planos técnicos que representen de forma clara y detallada cuerpos geométricos, incorporando toda la información necesaria para su correcta especificación geométrica y dimensional; y utilizar herramientas de diseño asistido por computadora (CAD) de vanguardia, de forma integral para leer, diseñar y editar planos de ingeniería.","Aplicar de manera efectiva los fundamentos, normas y herramientas del dibujo técnico para elaborar e interpretar planos de cuerpos geométricos de forma clara y precisa, tanto en español como en inglés","• Introducción al dibujo técnico como lenguaje de comunicación
• Conceptos normativos del dibujo técnico
• Geometría descriptiva
• Proyecciones ortogonales
• Proyecciones Axonométricas
• Acotado"
"FPH0108","EE0108","Introducción a la ingeniería electromecánica","1","El curso de Introducción a la ingeniería electromecánica aporta en el desarrollo del siguiente rasgo del plan de estudios: actuar con integridad y responsabilidad social en el ejercicio de la ingeniería, fomentando una comunicación efectiva y una actitud colaborativa en equipos de trabajo, y promoviendo una cultura de salud, seguridad y bienestar en el entorno laboral
Los aprendizajes que los estudiantes desarrollarán en el curso son: contextualizar la ingeniería electromecánica dentro de las ciencias de la ingeniería y su impacto en la industria y la sociedad; introducir conceptos fundamentales de mecánica, electricidad, termodinámica y control, resaltando sus interacciones en sistemas electromecánicos, enfatizando la importancia de la eficiencia energética y la sostenibilidad; familiarizar a los estudiantes con herramientas y metodologías de análisis y diseño utilizadas en la resolución de problemas técnicos, fomentando el pensamiento crítico e interdisciplinario; y explorar aplicaciones prácticas en sectores clave como energía, manufactura, robótica y transporte, considerando aspectos de la normativa nacional y la responsabilidad profesional.","Comprender de manera integral la ingeniería electromecánica, incluyendo sus principios básicos, aplicaciones y metodologías de resolución de problemas, para el desarrollo un pensamiento analítico y una perspectiva interdisciplinaria sobre el diseño, análisis, seguridad y mantenimiento de sistemas electromecánicos","• Introducción a la ingeniería electromecánica
• El rol de la persona ingeniera electromecánica
• Fundamentos de mecánica clásica
• Termodinámica y conversión de energía
• Mecánica de fluidos y transferencia de calor
• Principios de ingeniería eléctrica
• Fundamentos de ingeniería electrónica y de  control
• Programación aplicada a la electromecánica para diseño y simulación
• Sistemas ciberfísicos y transformación digital
• Ingeniería Aeronáutica
• Energías renovables, eficiencia energética y sostenibilidad
• Gestión y administración en ingeniería
• Desarrollo profesional y oportunidades laborales
• Seguridad en ingeniería electromecánica
• Tendencias y futuro de la ingeniería electromecánica
• La investigación en el campo de la ingeniería electromecánica"
"AUT0205","CA0205","Fundamentos de organización de computadoras","2","El curso de Fundamentos de organización de computadoras aporta en el desarrollo de los siguientes rasgos del plan de estudios: desarrollar soluciones de software para el control y procesamiento de datos en sistemas electromecánicos; y desarrollar soluciones de hardware usando microcontroladores para el control y procesamiento de datos en sistemas electromecánicos
Los aprendizajes que los estudiantes desarrollarán en el curso son: reconocer a los principales actores históricos de la computación y sus aportes, valorando cómo estos influyeron en la evolución de las arquitecturas computacionales modernas; aplicar conceptos matemáticos en la representación de datos digitales, entendiendo cómo se modela la información del mundo físico dentro de dispositivos digitales ; simular procesos computacionales por medio de una representación abstracta de máquina, ya sea una máquina de estados o una máquina de Turing como herramienta para la abstracción de problemas y soluciones ; y explicar el rol y funcionamiento de los diferentes componentes arquitecturales de la computadora digital moderna.","Comprender los fundamentos del procesamiento y representación de la información en sistemas computacionales, así como la estructura básica de las computadoras digitales, con el fin de aplicar estos conocimientos en el análisis, selección e integración de tecnologías computacionales dentro de sistemas electromecánicos","• Representación de Información
• Modelo de Computación Abstracto
• Arquitectura de Computadoras
• Ciclo de Procesamiento"
"IMM0207","EE0207","Estática","3","El curso de Estática aporta en el desarrollo del siguiente rasgo del plan de estudios: aplicar los principios de la mecánica de sólidos y fluidos, termodinámica y transferencia de calor para  analizar el comportamiento de los sistemas electromecánicos
Los aprendizajes que los estudiantes desarrollarán en el curso son: comprender los principios fundamentales de la estática de partículas y cuerpos rígidos; analizar diferentes tipos de sistemas mecánicos, como armaduras simples, marcos y máquinas, para la determinación de las fuerzas externas, internas y los efectos de la fricción en sus componentes; resolver problemas de equilibrio de cuerpos rígidos utilizando los conceptos centro de gravedad, centro de masa y centroide; y utilizar el principio de trabajo virtual para el estudio del equilibrio de un sistema mecánico.","Resolver problemas de equilibrio estático de partículas y cuerpos rígidos aplicando los principios fundamentales de la mecánica vectorial","• Introducción a la mecánica
• Equilibrio de una partícula
• Centroides
• Resultante de un sistema de fuerzas
• Equilibrio de un cuerpo rígido
• Análisis estructural
• Fuerzas internas
• Fricción
• Trabajo virtual"
"IEE0303","EE0303","Análisis de circuitos I","3","El curso de Análisis de circuitos I aporta en el desarrollo del siguiente rasgo del plan de estudios: conocer y aplicar los principios de los circuitos eléctricos y la electrónica, y analizar su funcionamiento en las diversas aplicaciónes en ingeniería electromecánica
Los aprendizajes que los estudiantes desarrollarán en el curso son: comprender la teoría de los circuitos eléctricos en corriente directa, incluyendo sus leyes y componentes principales; aplicar métodos de análisis y simulación para la solución de circuitos eléctricos en corriente directa; y evaluar circuitos en corriente directa para su uso en diversas aplicaciones de sistemas electromecánico.","Analizar  los circuitos eléctricos en corriente directa, mediante métodos y teoremas, permitiendo su implementación y optimización en diversas aplicaciones de la ingeniería electromecánica","• Conceptos y definiciones
• Análisis de circuitos básicos
• Técnicas para el análisis de circuitos complejos
• Bobinas y condensadores
• Fundamentos de la transformada de Laplace"
"IEE0304","EE0304","Laboratorio de circuitos I","1","El curso de Laboratorio de circuitos I aporta en el desarrollo de los siguientes rasgos del plan de estudios: conocer y aplicar los principios de los circuitos eléctricos y la electrónica, y analizar su funcionamiento en las diversas aplicaciónes en ingeniería electromecánica; y aplicar principios de metrología para medir variables físicas en sistemas electromecánicos
Los aprendizajes que los estudiantes desarrollarán en el curso son: experimentar en circuitos de corriente directa, ejecutando y aplicando métodos de análisis de las pruebas y ensayos; medir parámetros eléctricos fundamentales (tensión, corriente, resistencia y potencia) con la instrumentación adecuada, asegurando precisión y repetibilidad en los resultados; interpretar los resultados, desarrollando informes y documentos de los experimentos; y evaluar el error en la mediciones electricas en corriente directa usando los principios de la metrología.","Comprobar experimentalmente los métodos de análisis de circuitos eléctricos en corriente directa","• Empleo y lectura de instrumentos de medición eléctrica para corriente y voltaje
• Resistencia y resistividad
• Circuitos en serie y en paralelo
• Taller de simulación de circuitos
• Análisis de mallas y teorema de superposición
• Teoremas de Thévenin y máxima transferencia de potencia
• Taller del osciloscopio digital y el generador de señales
• Análisis de elementos reactivos: bobinas y condensadores
• Análisis de elementos almacenadores de energía: bobinas y condensadores
• Análisis de la carga y descarga de condensadores en circuitos de corriente directa
• Configuraciones en serie y paralelo de bobinas y condensadores
• Respuesta transitoria en circuitos RL y RC
• Análisis de circuitos RLC de segundo orden"
"IEE0305","EE0305","Transductores","2","El curso de Transductores aporta en el desarrollo de los siguientes rasgos del plan de estudios: implementar sistemas de instrumentación para la medición y modificación de variables físicas en sistemas electromecánicos; y aplicar principios de metrología para medir variables físicas en sistemas electromecánicos
Los aprendizajes que los estudiantes desarrollarán en el curso son: comprender las características estáticas, dinámicas, eléctricas y de fabricación de los transductores; seleccionar transductores según su aplicación en sistemas específicos, considerando sus características y principios de funcionamiento; y experimentar con transductores mediante prácticas que permitan aprendizajes significativos y el desarrollo de habilidades aplicadas.","Evaluar transductores para su integración en sistemas de instrumentación dedicados a la medición y manipulación de variables físicas en sistemas electromecánicos","• Conceptos básicos
• Características de los transductores
• Transductores térmicos
• Transductores ópticos
• Transductores eléctricos y magnéticos
• Transductores mecánicos
• Transductores acústicos
• Transductores químicos
• Transductores de radiación
• Transductores MEMS
• Interfaces de los transductores"
"IMM0307","EE0307","Dinámica","3","El curso de Dinámica aporta en el desarrollo del siguiente rasgo del plan de estudios: aplicar los principios de la mecánica de sólidos y fluidos, termodinámica y transferencia de calor para  analizar el comportamiento de los sistemas electromecánicos
Los aprendizajes que los estudiantes desarrollarán en el curso son: estudiar los principios fundamentales de la mecánica clásica necesarios para analizar y resolver problemas de cinemática y cinética de partículas y cuerpos rígidos; estudiar los efectos de las fuerzas y vibraciones en partículas y cuerpos rígidos en movimiento; y determinar los parámetros de movimiento de cuerpos rígidos y partículas, incluyendo posición, velocidad y aceleración, a partir de las leyes de Newton, los principios de trabajo-energía y conservación de la cantidad de movimiento.","Aplicar los principios fundamentales de la mecánica clásica de manera clara y lógica para analizar y resolver problemas de sistemas físicos en movimiento","• Cinemática de Partículas
• Cinética de partículas y sistemas de partículas
• Cinemática del movimiento plano de cuerpos rígidos
• Cinética del movimiento plano de cuerpos rígidos
• Vibraciones mecánicas"
"IEE0403","EE0403","Análisis de circuitos II","3","El curso de Análisis de circuitos II aporta en el desarrollo del siguiente rasgo del plan de estudios: conocer y aplicar los principios de los circuitos eléctricos y la electrónica, y analizar su funcionamiento en las diversas aplicaciónes en ingeniería electromecánica
Los aprendizajes que los estudiantes desarrollarán en el curso son: identificar los fundamentos de los circuitos eléctricos en corriente alterna, incluyendo sus leyes y componentes principales; aplicar métodos de análisis y simulación para la solución de circuitos eléctricos en corriente alterna; evaluar circuitos en corriente alterna para su uso en diversas aplicaciones de sistemas electromecánicos; y determinar el funcionamiento de circuitos en equipos y sistemas eléctricos en diversas aplicaciones para la identificación de su eficiencia y desempeño.","Analizar los circuitos eléctricos en corriente alterna, permitiendo su implementación y optimización en diversas aplicaciones de la ingeniería electromecánica","• Corriente alterna
• Potencia Eléctrica
• Respuesta en frecuencia
• Series de Fourier
• Redes de dos puertos
• Sistemas monofásicos trifilar"
"IEE0404","EE0404","Laboratorio de circuitos II","1","El curso de Laboratorio de circuitos II aporta en el desarrollo de los siguientes rasgos del plan de estudios: conocer y aplicar los principios de los circuitos eléctricos y la electrónica, y analizar su funcionamiento en las diversas aplicaciónes en ingeniería electromecánica; y aplicar principios de metrología para medir variables físicas en sistemas electromecánicos
Los aprendizajes que los estudiantes desarrollarán en el curso son: experimentar en circuitos de corriente alterna, ejecutando y aplicando métodos de análisis de las pruebas y ensayos; medir parámetros eléctricos fundamentales (tensión, corriente, resistencia y potencia) con la instrumentación adecuada, asegurando precisión y repetibilidad en los resultados.; interpretar los resultados, desarrollando informes y documentos de los experimentos; y evaluar el error en la mediciones electricas en corriente alterna usando los principios de la metrología.","Comprobar experimentalmente los métodos de análisis de circuitos eléctricos en corriente alterna","• Valores eficaces
• Circuito RLC serie excitación senoidal
• Circuitos mixtos RLC en corriente alterna
• Mejoramiento del factor de potencia
• Contenido armónico y filtros RLC
• Respuesta de frecuencia y resonancia en RLC
• Circuito monofásico trifilar y cálculo de Potencia
• Análisis del factor de potencia y su relación con cargas lineales
• Corrección del factor de potencia en circuitos monofásicos
• Análisis experimental de un circuito monofásico trifilar
• Cálculo de potencia promedio en señales senoidales compuestas"
