nombre,codArea,codSaber,porcTRC,porcINS,porcAER,porcSCF
Matemática,CIB,MAT,15.0,11.25,11.25,11.25
Física,CIB,FIS,9.0,6.75,6.75,6.75
Química,CIB,QUI,3.0,2.25,2.25,2.25
Ética y ciencias sociales,FPH,ECS,3.0,2.25,2.25,2.25
Habilidades interpersonales,FPH,HIP,2.0,1.5,1.5,1.5
Emprendedurismo,FPH,EMP,3.0,2.25,2.25,2.25
Administración de proyectos,FPH,ADP,2.0,1.5,1.5,1.5
Metodología de la investigación,FPH,MDI,1.0,0.75,0.75,0.75
Comunicación oral y escrita,CYD,COE,2.0,1.5,1.5,1.5
Inglés,CYD,ING,1.0,0.75,0.75,0.75
Dibujo para ingeniería,CYD,DPI,4.5,3.375,3.375,3.375
Circuitos eléctricos y electrónica,IEE,CEE,9.0,6.75,6.75,6.75
Máquinas eléctricas,IEE,MEE,5.0,3.75,3.75,3.75
Instrumentación y transductores,IEE,IYT,3.0,2.25,2.25,2.25
Ciencia e ingeniería de los materiales,IMM,CIM,3.0,2.25,2.25,2.25
Mecánica de sólidos y fluidos,IMM,MSF,10.0,7.5,7.5,7.5
Termodinámica y transferencia de calor,IMM,TTC,5.0,3.75,3.75,3.75
Elementos de máquinas,IMM,EDM,3.0,2.25,2.25,2.25
Manufactura,IMM,MAN,3.0,2.25,2.25,2.25
Programación,AUT,PRO,2.0,1.5,1.5,1.5
Modelado y simulación,AUT,MYS,3.0,2.25,2.25,2.25
Microcontroladores y arquitectura de computadores,AUT,MAC,1.0,0.75,0.75,0.75
Sistemas de control y automatización,AUT,SCA,5.0,3.75,3.75,3.75
Estadística y metrología,ADD,EYM,1.0,0.75,0.75,0.75
Diseño de experimentos,ADD,DDE,1.0,0.75,0.75,0.75
"Confiabilidad,disponibilidad,mantenibilidad y seguridad",ADD,CDM,0.5,0.375,0.375,0.375
Sistemas de transporte de masa y energía,INS,TME,0.0,10.0,0.0,0.0
Sistemas de generación y almacenamiento de energía,INS,GAE,0.0,3.0,0.0,0.0
Sistemas de distribución y transmisión de energía eléctrica,INS,DTE,0.0,4.0,0.0,0.0
Instalaciones electromecánicas,INS,IEM,0.0,3.0,0.0,0.0
Gestión del ciclo de vida y transformación digital,INS,GCV,0.0,3.0,0.0,0.0
Gestión de la energía,INS,GEE,0.0,2.0,0.0,0.0
"Liderazgo e inclusión",INS,LID,0.0,0.0,0.0,0.0
"Sostenibilidad e impacto social de la ingeniería",INS,SYC,0.0,0.0,0.0,0.0
Aviónica y control automático de vuelo y tráfico,AER,ACA,0.0,0.0,6.0,0.0
"Sistemas de propulsión, aerodinámica y dinámica de vuelo",AER,SPA,0.0,0.0,5.0,0.0
"Análisis mecánico de materiales, estructuras y mecanismos de la aeronave",AER,AME,0.0,0.0,7.0,0.0
Gestión del ciclo de vida de la aeronave,AER,GCA,0.0,0.0,3.0,0.0
Instalaciones aeroportuarias,AER,IAE,0.0,0.0,2.0,0.0
Movilidad aérea avanzada,AER,MAA,0.0,0.0,2.0,0.0
"Liderazgo e inclusión",AER,LID,0.0,0.0,0.0,0.0
"Sostenibilidad e impacto social de la ingeniería",AER,SYC,0.0,0.0,0.0,0.0
Sistemas embebidos en tiempo real,SCF,ETR,0.0,0.0,0.0,4.0
Interfaz humano máquina,SCF,HMI,0.0,0.0,0.0,1.0
Ingeniería de sistemas complejos,SCF,ISC,0.0,0.0,0.0,6.0
Machine Learning e inteligencia artificial embebida,SCF,MIE,0.0,0.0,0.0,4.0
"Visión de máquina, robótica y domótica",SCF,VRD,0.0,0.0,0.0,5.0
Internet de las cosas,SCF,IOT,0.0,0.0,0.0,3.0
Ciberseguridad,SCF,CIS,0.0,0.0,0.0,2.0
"Liderazgo e inclusión",SCF,LID,0.0,0.0,0.0,0.0
"Sostenibilidad e impacto social de la ingeniería",SCF,SYC,0.0,0.0,0.0,0.0
